X,Y,OBJECTID,site_name,feature_type_name,EASTING,NORTHING,asset_id_code,site_code,number_bins,bin_size
325847.13,676125.140000001,2483438,Kinghorn Place,WS: Communal Bin,325847,676125,,7901182,2,1100
325760.03,676142.779999999,2483439,Gosford Place,WS: Bottle Bank - Mixed,325760,676143,,7901155,1,500
325760.54,676142.939999999,2483440,Gosford Place,WS: Packaging,325761,676143,,7901155,2,1100
325775.85,676108.83,2483441,Gosford Place,WS: Bottle Bank - Mixed,325776,676109,,7901155,1,660
325775.5,676108.380000001,2483442,Gosford Place,WS: Packaging,325776,676108,,7901155,2,1100
325704.82,676174.640000001,2483443,Connaught Place,WS: Bottle Bank - Mixed,325705,676175,,7901109,1,500
325705.15,676174.300000001,2483444,Connaught Place,WS: Packaging,325705,676174,,7901109,2,1100
325575.91,676211.15,2483445,Bonar Place,WS: Bottle Bank - Mixed,325576,676211,,7901072,1,660
320569,671694,2483446,Saughton Road,WS: Bottle Bank - Mixed,320569,671694,,7903233,1,360
320569,671694,2483447,Saughton Road,WS: Food Waste Communal,320569,671694,,7903233,1,240
325576.49,676211.57,2483448,Bonar Place,WS: Packaging,325576,676212,,7901072,2,1100
320569,671694,2483449,Saughton Road,WS: Packaging,320569,671694,,7903233,2,1100
320569,671694,2483450,Saughton Road,WS: Communal Bin,320569,671694,,7903233,1,1280
320580,671684,2483451,Saughton Road,WS: Communal Bin,320580,671684,,7903233,1,1100
320619,671572,2483452,Saughton Road,WS: Bottle Bank - Mixed,320619,671572,,7903233,1,360
320619,671572,2483453,Saughton Road,WS: Food Waste Communal,320619,671572,,7903233,1,240
320619,671572,2483454,Saughton Road,WS: Packaging,320619,671572,,7903233,2,1100
320619,671572,2483455,Saughton Road,WS: Communal Bin,320619,671572,,7903233,2,1280
325877.2,675692.41,2483456,Redbraes Grove,WS: Bottle Bank - Mixed,325877,675692,,7901263,1,660
325916.15,675783.34,2483457,Redbraes Place,WS: Bottle Bank - Mixed,325916,675783,,7901264,1,660
325915.75,675784.09,2483458,Redbraes Place,WS: Packaging,325916,675784,,7901264,2,1100
320577,671726,2483459,Stenhouse Drive,WS: Bottle Bank - Mixed,320577,671726,,7903306,1,360
320577,671726,2483460,Stenhouse Drive,WS: Food Waste Communal,320577,671726,,7903306,1,240
320577,671726,2483461,Stenhouse Drive,WS: Packaging,320577,671726,,7903306,2,1100
320577,671726,2483462,Stenhouse Drive,WS: Communal Bin,320577,671726,,7903306,2,1280
320609,671739,2483463,Stenhouse Drive,WS: Communal Bin,320609,671739,,7903306,1,1100
320637,671719,2483464,Stenhouse Drive,WS: Bottle Bank - Mixed,320637,671719,,7903306,1,360
320637,671719,2483465,Stenhouse Drive,WS: Food Waste Communal,320637,671719,,7903306,1,240
320637,671719,2483466,Stenhouse Drive,WS: Packaging,320637,671719,,7903306,2,1100
320637,671719,2483467,Stenhouse Drive,WS: Communal Bin,320637,671719,,7903306,1,1100
325977.75,675701.289999999,2483468,Redbraes Place,WS: Bottle Bank - Mixed,325978,675701,,7901264,1,660
326149.99,675837.98,2483469,Ashley Place,WS: Bottle Bank - Mixed,326150,675838,,7901051,1,660
326148.3,675837.34,2483470,Ashley Place,WS: Packaging,326148,675837,,7901051,2,1100
326149.64,675837.32,2483471,Ashley Place,WS: Communal Bin,326150,675837,,7901051,2,1100
320640,671554,2483472,Stenhouse Street West,WS: Bottle Bank - Mixed,320640,671554,,7903316,1,360
320640,671554,2483473,Stenhouse Street West,WS: Food Waste Communal,320640,671554,,7903316,1,240
320640,671554,2483474,Stenhouse Street West,WS: Packaging,320640,671554,,7903316,2,1100
320674,671587,2483475,Stenhouse Street West,WS: Communal Bin,320674,671587,,7903316,2,1100
320687,671576,2483476,Stenhouse Street West,WS: Communal Bin,320687,671576,,7903316,1,1100
320698,6715665,2483477,Stenhouse Street West,WS: Bottle Bank - Mixed,320698,6715665,,7903316,1,360
320698,6715665,2483478,Stenhouse Street West,WS: Food Waste Communal,320698,6715665,,7903316,2,240
