,feature_type_name,LAT,LON
Food waste,55.944617,-3.1828177
Food waste,55.943863,-3.1827947
Food waste,55.942823,-3.1862854
Food waste,55.942975,-3.1853615
Food waste,55.947123,-3.1839029
Food waste,55.941822,-3.1847178
Food waste,55.943809,-3.1837377
Food waste,55.944702,-3.1833007
Food waste,55.941345,-3.1829261
Food waste,55.947515,-3.1832744
Food waste,55.942399,-3.1845593
Food waste,55.94597,-3.1869421
Food waste,55.94689,-3.1875627
Food waste,55.946383,-3.1888442
Food waste,55.943465,-3.1839514
Food waste,55.941908,-3.1842401
Food waste,55.944791,-3.1843441
Food waste,55.943849,-3.1832586
Food waste,55.942339,-3.1861425
Food waste,55.941118,-3.1832394
Food waste,55.945013,-3.1846711
Food waste,55.944573,-3.1855224
Food waste,55.94285,-3.1834363
Food waste,55.947593,-3.1826042
Food waste,55.946296,-3.182997
Food waste,55.945863,-3.1868588
Food waste,55.945535,-3.1864004
Food waste,55.939862,-3.183009
Food waste,55.940091,-3.1946072
Food waste,55.942551,-3.1986056
Food waste,55.943087,-3.1988943
Food waste,55.947173,-3.1991647
Food waste,55.941976,-3.1827212
Food waste,55.945403,-3.183338
Food waste,55.94515,-3.1825617
Food waste,55.942984,-3.1844011
Food waste,55.943204,-3.1849521
